count,kw,categories,subcategories,subsubcategories
1,sweetcancertest,['HEALTH'],[],[]
1,shallow water,[],[],[]
1,governance models,"['MODELLING', 'PUBLIC']",[],[]
1,bayesian learning,[],[],[]
1,ancient polychromy,[],[],[]
1,radical and radical-polar crossover logic in terpenoid synthesis,[],[],[]
1,regenerative heating,[],[],[]
1,eu-conexus enables - promoting excellence through innovative eco-systems,['SUSTAINABILITY'],[],[]
1,molecular photoswitches,[],[],[]
1,neuronal homeostasis,[],[],[]
1,transparent soil,['OPEN'],[],[]
1,malacology,[],[],[]
1,data mesh,"['DIGITAL TECHNOLOGIES', 'NETWORKS']","[('DIGITAL TECHNOLOGIES', 'DATA')]",[]
1,people-centric neighbourhoods,[],[],[]
1,birth outcomes,[],[],[]
1,semantic communications,[],[],[]
1,green urban areas,"['SUSTAINABILITY', 'URBAN']",[],[]
1,innovative community engagement for building effective resilience and arctic ocean pollution-control governance in the context of climate change,"['WASTE & POLLUTION', 'PUBLIC', 'RESILIENCE', 'SOCIAL', 'CLIMATE']",[],[]
1,experimentation platform,[],[],[]
1,innovation and the private sector,[],[],[]
1,barrier coating,[],[],[]
1,innovative toolbox empowering effective cap governance towards eu ambitions,['PUBLIC'],[],[]
1,sustainability and resilience for infrastructure and logistics networks,"['SUSTAINABILITY', 'RESILIENCE', 'NETWORKS']",[],[]
1,incasi2,[],[],[]
1,building momentum and trust to achieve credible soil carbon farming in the eu,"['AGRICULTURE', 'TRUST']",[],[]
1,risk management plans,['SECURITY'],[],[]
1,sustainable and climate-friendly internet,"['SUSTAINABILITY', 'INTERNET', 'CLIMATE']",[],[]
1,decoding the mechanisms underlying metal-organic frameworks self-assembly,['METALS'],[],[]
1,secondary education,['EDUCATION'],[],[]
1,loop extrusion,[],[],[]
1,smellodi,[],[],[]
1,gill,[],[],[]
1,thz communications,[],[],[]
1,inter-sectoral training,[],[],[]
1,microcomb,[],[],[]
1,toscp,[],[],[]
1,optical fiber,['FIBERS'],[],[]
1,multi-omics-based biomarker signatures of dietary carbohydrates quality and risk of chronic diseases.,"['SECURITY', 'HEALTH', 'NATURE']",[],[]
1,geo-visualization,[],[],[]
1,edged crystalline cohomology,['DIGITAL TECHNOLOGIES'],[],[]
1,s3e,[],[],[]
1,in-line monitoring,[],[],[]
1,animal models,['MODELLING'],[],[]
1,greening european mobility through cascading innovation initiatives,"['SUSTAINABILITY', 'TRANSPORTATION']",[],[]
1,new adaptive and buckling-driven  composite aerospace structures,"['AEROSPACE', 'SPACE']",[],[]
1,fresco4nopain,[],[],[]
1,cultural identities,['CULTURE'],[],[]
1,plastic challenge,[],[],[]
1,healthdata@eu,['HEALTH'],[],[]
1,variegated geography,[],[],[]
1,characterising heterostructures and integrated methodologies for electronic real-time analysis in 2d materials,['MATERIALS'],[],[]
1,energy technologies,['ENERGY'],[],[]
1,primed,[],[],[]
1,cultural heritage protection,"['SECURITY', 'CULTURE']",[],[]
1,screw dislocations,[],[],[]
1,sehrene,[],[],[]
1,visual analytics,[],[],[]
1,mechanically interlocked molecules,[],[],[]
1,macronutrients,[],[],[]
1,minilife,[],[],[]
1,invert2adapt,[],[],[]
1,dutch,[],[],[]
1,contested knowledges in and through asylum litigation,['INFORMATION'],[],[]
1,impacts,[],[],[]
1,personalised disease model,"['MODELLING', 'HEALTH']",[],[]
1,egg-cortex,[],[],[]
1,k-s-h-raksa,[],[],[]
1,evolutionary history,[],[],[]
1,polarity-sensitivity,[],[],[]
1,gravitational waveforms,[],[],[]
1,transposable element,[],[],[]
1,intracluster medium,[],[],[]
1,seismic signals,['SIGNAL PROCESSING'],[],[]
1,energy distribution,['ENERGY'],[],[]
1,twinning to boost the scientific and innovation capacity of the universiteti i tiranes to develop sustainable nanosensors for water pollution detection,"['SUSTAINABILITY', 'WASTE & POLLUTION', 'SENSORS']",[],[]
1,structure-properties of melt-spun bioplastic fibers in correlation with their biodegradation behaviour and mechanical performance,['FIBERS'],[],[]
1,whiskerschema,[],[],[]
1,cultural and economic geography,['CULTURE'],[],[]
1,measurement of gravitational effects on photonic quantum system,"['QUANTUM', 'PHOTONICS']",[],[]
1,ldd risk methodological framework,"['MODELLING', 'SECURITY']",[],[]
1,transverse modal instability (tmi),[],[],[]
1,infrared and sar data - dinosar,['DIGITAL TECHNOLOGIES'],"[('DIGITAL TECHNOLOGIES', 'DATA')]",[]
1,deep tech,[],[],[]
1,ancient glass,[],[],[]
1,co2sink,[],[],[]
1,life cycle sustainability assessment,['SUSTAINABILITY'],[],[]
1,biodiversity change,['ECOLOGY'],[],[]
1,rewiring prc2,[],[],[]
1,quantum computers,"['DIGITAL TECHNOLOGIES', 'QUANTUM']","[('DIGITAL TECHNOLOGIES', 'COMPUTING')]",[]
1,advanced testing methods,[],[],[]
1,monitoring and self-healing mechanisms to self-repair batteries,"['REPAIRING', 'BATTERIES']",[],[]
1,passenger,[],[],[]
1,wearable computing,['DIGITAL TECHNOLOGIES'],"[('DIGITAL TECHNOLOGIES', 'COMPUTING')]",[]
1,fission research,[],[],[]
1,real-time (co)evolution in a multitrophic community under current and future climates,"['CLIMATE', 'SOCIAL']",[],[]
1,vlbi,[],[],[]
1,secure-by-design iot operation with supply chain control,"['DIGITAL TECHNOLOGIES', 'SECURITY']","[('DIGITAL TECHNOLOGIES', 'IOT')]",[]
1,bifunctional air cathode,[],[],[]
1,digital citizenship,['PUBLIC'],[],[]
1,criminal interrogation and the impact of knowledge,['INFORMATION'],[],[]
1,health and safety at work,"['SECURITY', 'HEALTH']",[],[]
1,ubiquitin-proteasome system crosstalk with metabolism,[],[],[]
1,ultraconserved elements,[],[],[]
1,spain and greece,[],[],[]
1,biostimulants,[],[],[]
1,green quantitative easing,['SUSTAINABILITY'],[],[]
1,load levelling,[],[],[]
1,dynwall,[],[],[]
1,chemical exchange saturation transfer,['TRANSPORTATION'],[],[]
1,machine listening,[],[],[]
1,a synaptic mechanogenetic technology to repair brain connectivity,"['REPAIRING', 'GENETICS']",[],[]
1,kinetic,[],[],[]
1,photozyme,[],[],[]
1,novel perspectives on our solar system history recorded in the atacama desert,[],[],[]
1,chemical inputs,[],[],[]
1,human oversight,['HUMAN'],[],[]
1,effect of climate change on greenhouse gas fluxes from marine artic regions,"['SUSTAINABILITY', 'CLIMATE']",[],[]
1,ecotoxicogical assessment of banned and novel pfas as individuals or in mixture,[],[],[]
1,era-are,[],[],[]
1,highly efficient delamination technologies to recover and reuse metals,"['METALS', 'SUSTAINABILITY']",[],[]
1,demand-response,[],[],[]
1,cancer care,['HEALTH'],[],[]
1,ethnicity,[],[],[]
1,metamaterials,['MATERIALS'],[],[]
1,musicalspeech,[],[],[]
1,r&i foresight,[],[],[]
1,environmental archaeology,['CLIMATE'],[],[]
1,quantum scars,['QUANTUM'],[],[]
1,smart disassembly,[],[],[]
1,family dynamics,[],[],[]
1,non-thermal plasma (ntp),[],[],[]
1,four-dimensional element isotope analysis,[],[],[]
1,flexinel,[],[],[]
1,developing of efficient and fossil free fire test methods and assessment protocols for the fire resistance of construction elements.,[],[],[]
1,landscape,[],[],[]
1,food intake,['NUTRITION'],[],[]
1,mechanisms of social learning in social contagion and cultural evolution,"['SOCIAL', 'CULTURE']",[],[]
1,metavision,[],[],[]
1,planckian bounds,[],[],[]
1,identifying future capabilities for community policing,['SOCIAL'],[],[]
1,lanthanum oxides,[],[],[]
1,twincare-af,[],[],[]
1,rechargeable neurostimulators,[],[],[]
1,tango,[],[],[]
1,risk of automation,"['SECURITY', 'AUTOMATION']",[],[]
1,and innovation in  late pleistocene se africa,[],[],[]
1,smart thermal metamaterials,['MATERIALS'],[],[]
1,urbanization and urban planning,['URBAN'],[],[]
1,post born-oppenheimer approximation for semiclassical spectroscopy investigation of proton-coupled electron transfer processes,"['PHYSICS', 'TRANSPORTATION']",[],[]
1,zhyron,[],[],[]
1,elmo,[],[],[]
1,reinclugen,[],[],[]
1,epidemics prevention,[],[],[]
1,nano materials,MATERIALS,[],[]
1,digital logbooks,[],[],[]
1,arctic sea-ice reconstructions using ancient-dna.,['GENETICS'],[],[]
1,responsive pedagogies and democracy-as-becoming,"['EDUCATION', 'PUBLIC']",[],[]
1,glycan mimetics for cell glycocalyx reconstitution: a polymer chemist’s approach to fight infection,[],[],[]
1,mycbacteria,[],[],[]
1,colouring the dark in fluorescence light,[],[],[]
1,aging,[],[],[]
1,ultrabat,[],[],[]
1,flexible substrates,[],[],[]
1,hybrid st and pv power plant,['NATURE'],[],[]
1,semiconductor manufacturing,"['MANUFACTURING', 'CONDUCTORS']",[],[]
1,evoland,[],[],[]
