keyword,count
Total count,13674
research & development,13674
ecosystems,987
climatic changes,850
machine learning,748
sustainable economy,647
artificial intelligence,579
oncology,525
proteins,511
sensors,485
erc-2021-stg,470
history,440
software,414
erc-2022-stg,411
erc-2023-stg,395
governance,394
renewable energy,371
business models,327
erc-2022-cog,323
erc-2021-cog,318
agriculture,298
erc-2023-cog,292
catalysis,283
databases,279
pollution,275
dna,273
nano-materials,269
neurobiology,265
bacteriology,264
spectroscopy,264
laser physics,263
immunology,257
erc-2021-adg,255
data science,246
polymer sciences,246
sustainability,244
coronaviruses,242
genomes,241
recycling,239
erc-2023-poc,238
civil society,234
deep learning,232
microscopy,231
drug discovery,230
nutrition,219
erc-2022-adg,218
virology,214
semiconductivity,214
rna,213
satellite technology,213
erc-2022-poc2,209
internet of things,206
enzymes,204
coating and films,201
stem cells,195
computational intelligence,194
quantum computers,193
microbiology,192
mortality,191
geometry,190
automation,189
additive manufacturing,188
public health,187
employment,186
climate change,186
genetics,185
pandemics,183
erc-2023-adg,183
immunotherapy,180
law,179
productivity,179
energy and fuels,177
mutation,174
metalloids,173
proteomics,166
cell biology,163
lipids,162
revolutions,162
personalized medicine,162
robotics,162
transition metals,161
big data,160
pathology,160
social inequalities,157
democracy,156
erc-2022-poc1,156
gene therapy,151
quantum physics,149
circular economy,147
ai,144
electrolysis,143
data processing,142
mathematical model,142
microfluidics,142
vaccines,141
photons,141
simulation software,140
pharmaceutical drugs,140
innovation management,138
human migrations,136
homeostasis,135
entrepreneurship,135
biomass,129
electric batteries,129
surgery,128
remote sensing,127
manufacturing engineering,127
physiology,126
cryptography,124
diabetes,122
composites,122
planets,121
bioeconomy,120
evolutionary biology,118
mass spectrometry,117
computational science,116
biomaterials,114
fisheries,114
fibers,113
fuel cells,113
graphene,112
textiles,111
5g,111
aircraft,111
digital humanities,110
superconductivity,110
forestry,110
implants,110
photovoltaic,110
mining and mineral processing,110
wind power,109
linguistics,108
economics,107
wastewater treatment processes,107
ecology,107
optical sensors,106
cardiovascular diseases,106
inorganic compounds,106
hydrogen energy,103
antibiotic resistance,101
epigenetics,101
digital twin,101
topology,100
virtual reality,100
sustainable agriculture,99
alzheimer,97
antibiotics,97
internet,97
co-creation,96
air pollution engineering,96
synthetic biology,95
innovation,95
cognitive neuroscience,93
philosophy,92
electrochemistry,92
electric vehicles,91
resilience,89
sustainability sciences,89
energy conversion,88
biodiversity,88
electron microscopy,88
nongovernmental organizations,88
psychology,87
biosensors,87
breast cancer,87
computer vision,87
signal processing,87
drones,87
stroke,86
alkali metals,85
obesity,85
materials engineering,85
biomolecules,83
biophysics,82
nanotechnology,82
anthropology,81
molecular biology,80
black holes,80
photocatalysis,80
ultrasound,79
thermodynamics,78
solar energy,78
modern history,75
natural language processing,75
control systems,75
alkaline earth metals,75
multiphysics,74
infectious diseases,74
training,74
mycology,73
didactics,72
computer security,72
tissue engineering,72
public policies,71
government systems,71
hydrogen,71
magnetic resonance imaging,70
archaeology,70
aliphatic compounds,70
hydrology,70
colors,70
amines,69
smart cities,69
alcohols,69
two-dimensional nanostructures,69
ancient history,68
cells technologies,68
human rights,68
optoelectronics,68
crisis management,67
biological interactions,67
carbohydrates,66
epidemiology,66
structural biology,66
cognitive psychology,66
modelling,65
dark matter,65
super resolution microscopy,65
energy efficiency,65
optics,64
developmental biology,64
embryology,64
thermodynamic engineering,64
gender,63
radio technology,63
pathophysiology,62
bioreactors,62
cancer,61
electrocatalysis,61
spintronics,61
citizen science,60
gender equality,60
history of literature,60
digital twins,60
post-transition metals,60
capacity building,59
quantum optics,59
phycology,59
particle physics,58
transplantation,58
parkinson,58
leukemia,58
education,58
acoustics,58
arts,58
mobile phones,58
nanomedicine,57
entomology,57
interoperability,57
autonomous vehicles,57
health,57
sociology,57
fluid dynamics,56
transport,56
animal husbandry,55
gravitational waves,55
plant protection,55
grains and oilseeds,55
natural disasters,55
circularity,55
numerical analysis,54
botany,54
medieval history,54
antivirals,53
social sciences,53
nucleic acids,53
biocatalysis,53
ophthalmology,53
reinforcement learning,52
business and management,52
genomics,52
physiotherapy,52
2d materials,52
biofuels,52
crystals,51
marine biology,51
mammalogy,51
ontology,51
chromosomes,51
lca,51
atomic physics,51
organic chemistry,51
open science,51
fermentation,51
water management,50
nanophotonics,50
particle accelerator,50
lung cancer,50
radar,49
colorectal cancer,49
data protection,49
automotive engineering,49
sustainable building,49
partial differential equations,49
soft matter physics,49
epilepsy,49
fruit growing,48
microbiome,48
social innovation,48
globalization,48
hydrocarbons,48
quantum computing,47
safety,47
dementia,46
obstetrics,46
mobility,46
biogeochemistry,46
diagnostic imaging,46
mathematics,46
cinematography,46
drug resistance,46
air traffic management,46
natural gas,46
fibre optics,45
genetic engineering,45
energy,45
digitalisation,44
monitoring,44
biodiversity conservation,44
invertebrate zoology,44
data mining,44
cardiology,44
environment,44
supercomputers,43
ethnoarchaeology,43
ecosystem services,43
dynamical systems,43
microelectronics,43
energy storage,43
policy,42
fertility,42
food safety,42
neurology,42
photochemistry,42
waste management,42
political economy,42
carbon capture engineering,41
prostate cancer,41
bioinformatics,41
hepatology,41
iot,41
