keyword,ecmax
Total EC max,36819834028.0
research & development,36819834028.00094
ecosystems,4549953211.900005
sustainable economy,3135272627.360003
climatic changes,2887128861.8800025
artificial intelligence,2493539416.660002
machine learning,2090577311.5900009
governance,1827996943.1599996
business models,1633245325.22
sensors,1577864214.0600011
renewable energy,1419926476.8000014
software,1318616868.2000003
sustainability,1229931288.7599995
recycling,1157657018.5000005
aircraft,1103997328.9800003
energy and fuels,1038671472.6600004
oncology,1009393189.2900013
agriculture,982582867.2800003
proteins,974266270.730001
circular economy,891854042.76
nutrition,873977667.2500005
automation,869989200.03
civil society,859622554.8900001
innovation management,840152425.1800001
innovation,836580268.7200001
internet of things,818566604.2600003
pollution,774113017.3399998
ai,749318159.93
public health,747467821.0300001
erc-2021-stg,730369655.0
coronaviruses,729132842.6200002
fuel cells,683147273.7399999
entrepreneurship,678603555.7
robotics,676912591.0900002
databases,665950587.0400007
erc-2022-cog,658464227.25
erc-2021-cog,641305092.39
erc-2022-stg,637314602.09
data science,634596627.0800004
digital twin,631950312.1199999
productivity,630896153.3899999
erc-2021-adg,624846845.4300001
erc-2023-stg,620382080.12
erc-2023-cog,593073316.34
hydrogen energy,585679120.7700002
hydrogen,585593576.23
semiconductivity,584426653.4500004
personalized medicine,568898138.2199998
nuclear fusion,563770796.0800002
employment,561048799.43
pandemics,557403514.1400001
manufacturing engineering,556635127.6099999
big data,556237733.6099999
satellite technology,556076025.8500004
immunology,551258829.2199998
sustainability sciences,549946472.6700001
euratom.1.3.1,549442000.0
implementation of activities described in the roadmap to fusion during horizon europe through a joint programme of the members of the eurofusion consortium,549442000.0
euratom-2021-adhoc-iba,549442000.0
eurofusion,549442000.0
erc-2022-adg,542944543.48
vaccines,539589772.78
catalysis,535830687.2099994
sustainable agriculture,535612840.7199999
mining and mineral processing,530891043.9
additive manufacturing,524862327.84999996
virology,519468304.6999998
coating and films,518200424.52
laser physics,513449957.98999983
wind power,511026261.44000006
quantum computers,502701798.6199998
smart cities,495835270.80999994
biomass,494366217.16999996
history,486639023.00999945
simulation software,483688170.16999996
mortality,483093728.01999974
deep learning,477111817.3799998
forestry,476059435.98
5g,473022262.47999984
biodiversity,468138670.55000013
cryptography,463299076.26999986
erc-2023-adg,462058912.94
crisis management,461461670.58999985
climate change,459982747.7599997
drug discovery,454345012.4999996
bioeconomy,448410183.15
polymer sciences,447422933.2599998
dna,443525721.9199996
co-creation,441282322.45
remote sensing,438825770.06999993
immunotherapy,433237123.9299999
neurobiology,431572377.3699996
textiles,422680618.8500001
biological interactions,421368268.4100001
spectroscopy,420212773.7999996
microbiology,417035539.9999998
metalloids,416136123.4299998
data processing,416065897.65999985
education,410502759.68
genomes,409121157.8799999
genetics,407727934.4199999
social inequalities,404443318.38999975
electric batteries,403207525.02
digital twins,401644527.24
electric vehicles,396669721.0
air pollution engineering,385931146.3999999
resilience,385309601.09
nano-materials,379700241.3299999
training,379132704.31999993
interoperability,373281066.30999994
law,371855885.02999985
erc-2023-syg,365716039.25
pharmaceutical drugs,362117958.7799999
electrolysis,355185154.09999985
composites,355098538.48999983
computational intelligence,344182226.3999999
bacteriology,341925329.7299998
control systems,338690432.1699999
revolutions,337944500.2099996
erc-2022-syg,337340401.25
democracy,336298974.16999996
photovoltaic,333594346.6899998
computer security,325643402.83
gene therapy,325503947.8199999
planets,323980978.00999993
circularity,320805518.9200001
geometry,309978854.28999996
transition metals,309840106.0599998
living labs,309148817.7
cardiovascular diseases,308000675.60999984
drones,307111729.3599999
rna,301861759.5
fibers,301631117.2
internet,301492100.9199999
fisheries,300031728.1399998
microscopy,298950472.97999996
wastewater treatment processes,293807644.1099999
data protection,293037620.5299999
cell biology,289166429.9800001
virtual reality,288286353.1400001
stem cells,286340269.8200002
safety,286126722.76000005
mathematical model,284476416.65999997
energy efficiency,282598747.5899999
proteomics,281660219.8100002
materials engineering,280370600.1
open science,279598792.24000007
diabetes,272730499.21000004
lipids,271357895.51000017
computer vision,270254395.16
transport,266736174.15000004
capacity building,265108057.57999995
optical sensors,262157432.0900001
nongovernmental organizations,260795315.78999996
sustainable,259831537.13
thermodynamic engineering,259759794.54000005
enzymes,259163713.40000024
surgery,258084239.07
energy,257817321.92999998
energy conversion,252665114.73000005
microfluidics,248881919.40000007
quantum physics,246208113.79000017
biomaterials,244533504.12000006
citizen science,242886677.07
business and management,240549599.56999996
lca,239964823.67999998
economics,238386995.12000015
data,237340750.01000002
value chain,237121409.30000004
data exchange,236389031.74
social sciences,236260859.73999998
pathology,234634394.61000028
social innovation,228938054.79999995
modelling,228935286.33
stroke,228178000.96000007
ultrasound,226937025.28000006
epigenetics,226479359.20000014
computational science,225944978.67000017
photons,225585316.09000024
superconductivity,225526024.5500001
marine biology,225183186.93000004
obesity,225089173.2200001
signal processing,221593590.08000004
sustainable building,220587469.18999994
natural gas,219587920.46999997
digitalisation,219315165.57999998
knowledge,218694922.73
epidemiology,218032015.95000005
green deal,215612242.42000002
automotive engineering,214470452.45
alkali metals,213794171.4100001
ecosystem services,211271297.99000004
monitoring,208085411.21999997
homeostasis,204578057.10000014
mutation,204139498.03000036
synthetic biology,200555254.96000013
parc,200000000.0
partnership for the assessment of risks from chemicals,200000000.0
infectious diseases,198376771.69000012
inorganic compounds,197105390.0800002
breast cancer,195582102.7700001
human migrations,195456752.60000005
research,194755360.96
circular food systems,194280124.68
alternative protein,194245987.08
sustainable aquaculture,194057397.0
targeted nutrition,194057397.0
digital traceability,194057397.0
eitfood bp23-25,194057397.0
eit food business plan 2023-2025,194057397.0
public policies,192844365.86000004
support,192843390.0
natural language processing,191581437.74000004
antibiotic resistance,190223741.8800001
multiphysics,190069928.12000006
graphene,190066168.72000015
iot,188272744.57999998
research infrastructures,188065793.24
critical raw materials,187984408.64
aeronautical engineering,185183594.85
alcohols,184794298.4400001
biofuels,184586268.31
topology,184323858.3000001
sme,184158031.37
natural disasters,184126100.75
health,183563369.20999998
raw materials,182882089.28
lung cancer,182402796.45000002
autonomous vehicles,182139172.56
water management,182138440.58
waste management,181897868.69
biosensors,181575734.41000003
post-transition metals,181162598.20000005
biodiversity conservation,179764394.61
implants,178298155.1700001
solar energy,178162269.7300001
ehealth,177671383.48000002
plant protection,177008796.01
structural biology,176637320.6600001
optics,175402061.60000005
electric power distribution,174854667.67999998
hydrology,173366036.58000004
photonics,173150939.45999998
manufacturing,172226701.64
quantum computing,171381431.70999998
innovative solutions,170633693.57999998
radar,170381815.07000005
microelectronics,170032963.81
stakeholder engagement,169767532.54
cells technologies,169421160.02
policy,168836345.85
air traffic management,168267962.08
public transport,166775763.68
simulation,165311788.37
ontology,165233489.59999996
blockchain,163771043.82
fuel cell,163614883.73
evolutionary biology,163584867.70000005
mobile phones,162409602.69000003
prevention,162342429.46
human rights,161853303.73000008
physiology,161394472.0500001
electron microscopy,160593447.85000014
smart sensors,160438137.72
support start ups,160024833.85
sustainable health care systems,160024833.85
better health for all,160024833.85
support entrepreneurs,160024833.85
eit health business plan 2023-2025,160024833.85
competitive health economy,160024833.85
and train health professionals,160024833.85
fermentation,158755029.42000002
flexibility,158157066.38
trust,157302945.16
implementation,157297394.44
climate neutrality,157172432.16
internationalisation,156553699.13
didactics,156119573.95999998
personalised medicine,156029947.4
genomics,153822255.95
microbiome,153334132.55
sga1-he,153000000.0
cost: europe's most empowering research programme strengthening science and innovation through research networking,153000000.0
ecology,151814064.87
biomarkers,151418985.28
6g,150833083.79000002
colorectal cancer,150778152.76
electric energy,150612859.72
eit rm bp23-25,150517769.0
eit rawmatrials business plan 2023-2025,150517769.0
cybersecurity,150016955.99
automotive,149797433.95
liquid fuels,147903290.21000004
food safety,147518945.11999997
radio technology,147321668.15000004
antibiotics,147028644.91
international collaboration,146954928.88
green hydrogen,146886746.20000002
supercomputers,146750633.89
electrification,144441090.01
government systems,144177016.3100001
nanotechnology,144058848.67999998
trustworthy ai,143828434.48
aliphatic compounds,143485814.2
hybrid-electric,142946312.51
cancer,142463814.08999997
physiotherapy,142302464.04
